station_id,station_name,from_date,to_date,lat,lon,TMK_latest_date,TMK_latest_value,TNK_latest_date,TNK_latest_value,TXK_latest_date,TXK_latest_value,UPM_latest_date,UPM_latest_value
03925,Pforzheim-Ispringen,19890406,20250616,48.9329,8.6973,20250616,17.3,20250616,12.1,20250616,22.8,20250616,75.96
03927,Pfullendorf,19580101,20250616,47.9345,9.2869,20250616,14.6,20250616,9.3,20250616,20.5,20250616,82.33
03939,Pirmasens,19500101,20250616,49.1912,7.5879,20250616,18.0,20250616,13.0,20250616,23.6,20250616,67.92
03946,Plauen,18820101,20250616,50.4818,12.1300,20250616,16.1,20250616,10.6,20250616,20.6,20250616,75.17
03975,Pommelsbrunn-Mittelburg,19930901,20250616,49.4777,11.5357,20250616,16.4,20250616,12.0,20250616,21.4,20250616,73.17
03987,Potsdam,18930101,20250616,52.3812,13.0622,20250616,18.2,20250616,14.0,20250616,23.7,20250616,66.00
04024,Putbus,18530701,20250616,54.3643,13.4771,20250616,16.9,20250616,14.0,20250616,20.5,20250616,79.83
04032,Quedlinburg,19450101,20250616,51.7953,11.1320,20250616,17.5,20250616,13.2,20250616,23.4,20250616,67.75
04036,Querfurt-Mühle,19530601,20250616,51.3895,11.5412,20250616,17.5,20250616,11.1,20250616,22.6,20250616,66.63
04039,Quickborn,19741201,20250616,53.7331,9.8776,20250616,17.0,20250616,12.8,20250616,21.4,20250616,76.92
04063,Rahden-Kleinendorf,19510101,20250616,52.4461,8.5906,20250616,17.1,20250616,11.0,20250616,22.2,20250616,76.13
04094,"Weingarten,",19460101,20250616,47.8062,9.6206,20250616,17.1,20250616,13.0,20250616,22.1,20250616,75.25
04104,Regensburg,18790101,20250616,49.0425,12.1019,20250616,18.3,20250616,13.6,20250616,25.7,20250616,71.75
04127,Reichshof-Eckenhagen,19911001,20250616,50.9906,7.6958,20250616,16.4,20250616,10.1,20250616,22.1,20250616,73.29
04160,Renningen-Ihinger,19701222,20250616,48.7425,8.9240,20250616,16.5,20250616,10.8,20250616,21.3,20250616,76.08
04169,Rheinau-Memprechtshofen,19580101,20250616,48.6703,7.9939,20250616,19.4,20250616,13.9,20250616,24.9,20250616,74.46
04175,Rheinfelden,19530901,20250616,47.5590,7.7721,20250616,19.0,20250616,13.0,20250616,24.1,20250616,75.25
04177,Rheinstetten,19480101,20250616,48.9726,8.3301,20250616,19.2,20250616,13.0,20250616,25.0,20250616,70.63
04189,"Altheim,",20040801,20250616,48.1479,9.4596,20250616,15.5,20250616,10.8,20250616,21.4,20250616,81.79
04271,Rostock-Warnemünde,19470101,20250616,54.1803,12.0808,20250616,17.1,20250616,14.7,20250616,20.6,20250616,78.38
04275,Rotenburg,19460101,20250616,53.1289,9.3398,20250616,16.9,20250616,11.5,20250616,21.4,20250616,76.25
04280,Roth,19710101,20250616,49.2162,11.1035,20250616,18.5,20250616,12.9,20250616,23.6,20250616,59.71
04287,Rothenburg,19470601,20250616,49.3849,10.1732,20250616,17.2,20250616,10.3,20250616,23.0,20250616,70.88
04300,Rottweil,19570201,20250616,48.1815,8.6356,20250616,15.7,20250616,9.4,20250616,21.9,20250616,76.13
04301,"Kreuznach,",19470101,20250616,49.8502,7.8710,20250616,19.6,20250616,13.4,20250616,25.5,20250616,63.38
